title,type,question,A,B,C,D,E,answer,image
分类 Level 2,radio,Bank,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,A,
,radio,Overdraf bank,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,C,
,radio,Tunai,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,A,
,radio,Kenderaan,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,B,
,radio,Lengkapan,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,B,
,radio,Akaun Belum Terima,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,A,
,radio,Inventori,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,A,
,radio,Akaun Belum Bayar,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,C,
,radio,Pinjaman,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,D,
,radio,Modal,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,E,
,radio,Untung Bersih,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,E,
,radio,Ambilan,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,E,
,radio,Rugi Bersih,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,E,
,radio,Belanja Belum Bayar,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,C,
,radio,Belanja Prabayar,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,A,
,radio,Hasil Belum Terima,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,A,
,radio,Hasil Belum Terperoleh,Aset Semasa,Aset Bukan Semasa,Liabiliti Semasa,Liabiliti Bukan Semasa,Ekuiti Pemilik,C,
