title,type,question,A,B,C,D,E,F,G,H,answer,image
Persamaan Perakaunan Level 2,checkbox,membeli barang niaga dengan tunai,Inventori +,Inventori -,Tunai +,Tunai -,,,,,"A,D",
,checkbox,menjual barang niaga secara tunai,Inventori +,Inventori -,Tunai +,Tunai -,,,,,"B,C",
,checkbox,membeli barang niaga dengan cek,Inventori +,Inventori -,Bank +,Bank -,,,,,"A,D",
,checkbox,menjual barang niaga dan terima cek,Inventori +,Inventori -,Bank +,Bank -,,,,,"B,C",
,checkbox,membeli barang niaga secara kredit,Inventori +,Inventori -,Akaun Belum Bayar +,Akaun Belum Bayar -,,,,,"A,C",
,checkbox,menjual barang niaga secara kredit,Inventori +,Inventori -,Akaun Belum Terima +,Akaun Belum Terima -,,,,,"B,C",
,checkbox,membayar cek kepada pembekal,Bank +,Bank -,Akaun Belum Terima +,Akaun Belum Terima -,Akaun Belum Bayar +,Akaun Belum Bayar -,,,"B,F",
,checkbox,menerima cek daripada pelanggan,Bank +,Bank -,Akaun Belum Terima +,Akaun Belum Terima -,Akaun Belum Bayar +,Akaun Belum Bayar -,,,"A,D",
,checkbox,membeli perabot dengan tunai,Tunai +,Tunai -,Perabot +,Perabot -,,,,,"B,C",
,checkbox,membeli perabot secara kredit,Tunai +,Tunai -,Perabot +,Perabot -,Akaun Belum Bayar +,Akaun Belum Bayar -,Akaun Belum Terima +,Akaun Belum Terima -,"C,E",
,checkbox,Membayar gaji dengan cek,Bank +,Bank -,Untung Bersih +,Untung Bersih -,,,,,"B,D",
,checkbox,Membayar Sewa dengan cek,Bank +,Bank -,Untung Bersih +,Untung Bersih -,,,,,"B,D",
,checkbox,Menerima komisen dengan cek,Bank +,Bank -,Untung Bersih +,Untung Bersih -,,,,,"A,C",
,checkbox,Ambil Tunai untuk kegunaan sendiri,Tunai +,Tunai -,Untung Bersih +,Untung Bersih -,Ambilan +,Ambilan -,,,"B,E",
,checkbox,Membawa masuk tunai ke dalam bank untuk kegunaan kedai,Tunai +,Tunai -,Bank +,Bank -,Ambilan +,Ambilan -,Modal +,Modal -,"C,G",
,checkbox,Membawa masuk perabot untuk kegunaan kedai,Tunai +,Tunai -,Perabot +,Perabot -,Ambilan +,Ambilan -,Modal +,Modal -,"C,G",
