title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,answer,image
Persamaan Perakaunan Level 3,checkbox,"Bayar cek RM1000 kepada pembekal, terima diskaun RM200",Bank -1000,Bank -1200,Akaun Belum Bayar +1200,Akaun Belum Bayar -1200,Akaun Belum Bayar +1000,Akaun Belum Bayar -1000,Untung Bersih +200,Untung Bersih -200,,,,,"A,D,G",
,checkbox,Membayar cek RM4 000 kepada Akaun Belum Bayar untuk menjelaskan hutang RM4 200,Bank -4000,Bank -4200,Akaun Belum Bayar +4000,Akaun Belum Bayar -4000,Akaun Belum Bayar +4200,Akaun Belum Bayar -4200,Untung Bersih +200,Untung Bersih -200,,,,,"A,F,G",
,checkbox,"Menerima cek RM1000 daripada pelanggan, memberi diskaun RM200",Bank +1000,Bank +1200,Akaun Belum Terima +1200,Akaun Belum Terima -1200,Akaun Belum Terima +1000,Akaun Belum Terima -1000,Untung Bersih +200,Untung Bersih -200,,,,,"A,D,H",
,checkbox,Jual barang niaga berkos RM400 dan tunai RM480 diterima,Tunai +400,Tunai +480,Akaun Belum Terima +400,Akaun Belum Terima +480,Inventori -400,Inventori -480,Untung Bersih +80,Untung Bersih +400,,,,,"B,E,G",
,checkbox,Jual barang niaga berkos RM900 dan cek RM990 diterima,Bank +900,Bank +990,Akaun Belum Terima +900,Akaun Belum Terima +980,Inventori -900,Inventori -990,Untung Bersih +90,Untung Bersih +900,,,,,"B,E,G",
,checkbox,Jual barang niaga RM760 dan tunai RM850 diterima. Tunai dibankkan,Bank +760,Bank +850,Tunai +760,Tunai +850,Inventori -760,Inventori -850,Untung Bersih +90,Untung Bersih +760,,,,,"B,E,G",
,checkbox,Jualan barang niaga berkos RM5 000 secara kredit pada harga RM5 500,Bank +5000,Bank +5500,Akaun Belum Terima +5000,Akaun Belum Terima +5500,Inventori -5000,Inventori -5500,Untung Bersih +500,Untung Bersih +5000,,,,,"D,E,G",
,checkbox,Mengeluarkan tunai di bank RM2 000 untuk kegunaan kedai,Bank +2000,Bank -2000,Tunai +2000,Tunai -2000,Untung Bersih +2000,Untung Bersih -2000,Ambilan +2000,Modal +2000,,,,,"B,C",
,checkbox,Mengeluarkan tunai di bank RM2 000 untuk kegunaan peribadi,Bank +2000,Bank -2000,Tunai +2000,Tunai -2000,Untung Bersih +2000,Untung Bersih -2000,Ambilan +2000,Modal +2000,,,,,"B,G",
,checkbox,Memindahkan tunai di tangan RM2 000 ke dalam bank,Bank +2000,Bank -2000,Tunai +2000,Tunai -2000,Untung Bersih +2000,Untung Bersih -2000,Ambilan +2000,Modal +2000,,,,,"A,D",
,checkbox,Sebuah perabot berharga RM4 900 dibeli daripada Kedai Perabot Tan dengan bayaran pendahuluan RM1 000 secara tunai dan bakinya RM3 900 akan dibayar kemudian,Bank -1000,Bank -3900,Bank -4900,Perabot +1000,Perabot +3900,Perabot +4900,Untung Bersih -1000,Untung Bersih -3900,Untung Bersih -4900,Akaun Belum Bayar +1000,Akaun Belum Bayar +3900,Akaun Belum Bayar +4900,"A,F,K",
,checkbox,"Menerima pinjaman RM10 000, RM2000 dibayar kepada Akaun Belum Bayar, RM1000 digunakan peribadi, bakinya dibankkan",Bank +10000,Bank +1000,Bank +7000,Akaun Belum Bayar -2000,Akaun Belum Bayar +2000,Untung Bersih -1000,Untung Bersih -2000,Untung Bersih -7000,Ambilan +1000,Modal +1000,Pinjaman +10000,Pinjaman +7000,"C,D,I,K",
,checkbox,"Menerima tunai RM2400 daripada Akaun Belum Terima untuk menjelaskan hutang RM2500, RM1000 digunakan untuk membayar Akaun Belum Bayar, bakinya dibankkan",Bank +1000,Bank +1400,Bank +2400,Akaun Belum Terima -2400,Akaun Belum Terima -2500,Akaun Belum Bayar -1000,Akaun Belum Bayar +1000,Untung Bersih -100,Untung Bersih +100,,,,"B,E,F,H",
