title,type,question,A,B,C,D,E,F,G,H,I,J,K,L,answer,image
Dokumen Sumber,radio,Jualan Tunai,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,A,
,radio,Belian Tunai,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,A,
,radio,Jualan Kredit,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,I,
,radio,Belian Kredit,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,I,
,radio,Invois terkurang caj,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,J,
,radio,通知欠钱变多,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,J,
,radio,通知欠钱变少,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,K,
,radio,Invois terlebih caj,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,K,
,radio,Pulangan Belian,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,K,
,radio,Pulangan Jualan,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,K,
,radio,Terima cek daripada Akaun Belum Terima,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,B,
,checkbox,Membayar cek kepada Akaun Belum Bayar,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,"B,C",
,radio,Membayar tunai kepada Akaun Belum Bayar,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,B,
,radio,Bayar Gaji,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,D,
,radio,Bayar Sewa,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,D,
,radio,Ambilan,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,H,
,radio,Modal Tambahan,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,H,
,radio,beli surat khabar di kedai runcit,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,E,
,radio,Bank 通知你进钱,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,G,
,radio,Bank 通知你扣钱,Bil Tunai,Resit,Keratan Cek,Baucar Pembayaran,Slip Daftar Tunai,Makluman Debit,Makluman Kredit,Memo,Invois,Nota Debit,Nota Kredit,,F,
