title,type,question,A,B,C,D,E,F,G,H,answer,image
句子版,radio,Membeli barang niaga secara kredit.,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,B,
,radio,Membeli barang niaga secara Tunai.,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,F,
,radio,Menjual barang niaga secara Tunai.,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,F,
,radio,Menjual barang niaga secara kredit.,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,C,
,radio,Memulangkan barang niaga kepada pembekal,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,D,
,radio,Memulangkan barang niaga daripada pelanggan,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,E,
,radio,Membeli Perabot secara kredit,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,A,
,radio,Membeli Perabot dengan cek,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,F,
,radio,Membeli Lengkapan dengan Tunai,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,F,
,radio,Membeli Alat tulis RM48 dengan Tunai,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,G,
,radio,Ambil Tunai untuk membayar yuran anak sekolah,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,F,
,radio,Ambil Alatan Pejabat untuk kegunaan sendiri,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,A,
,radio,Ambil barang niaga untuk promosi,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,Buku Tunai Runcit,,A,
