title,type,question,A,B,C,D,E,F,answer,image
Dokumen 版,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_1.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,C,dokumen_2.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,B,dokumen_3.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_4.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,A,dokumen_5.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_6.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,C,dokumen_7.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_8.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_9.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,E,dokumen_10.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_11.png
