title,type,question,A,B,C,D,E,F,answer,image
Dokumen 版,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,A,dokumen_12.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_13.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,B,dokumen_14.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,D,dokumen_15.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_16.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,A,dokumen_17.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_18.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_19.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,C,dokumen_20.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,C,dokumen_21.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_22.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_23.png
