title,type,question,A,B,C,D,E,F,answer,image
Dokumen 版,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,B,dokumen_24.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_25.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,C,dokumen_26.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,B,dokumen_27.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,E,dokumen_28.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,B,dokumen_29.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_30.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_31.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_32.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_33.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_34.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,A,dokumen_35.png
,radio,以下dokumen记录在哪里？,Jurnal Am,Jurnal Belian,Jurnal Jualan,Jurnal Pulangan Belian,Jurnal Pulangan Jualan,Buku Tunai,F,dokumen_36.png
