title,type,question,A,B,C,D,E,F,G,H,answer,image
5.2 Sistem Catatan Bergu Level 2,checkbox,根据 Catatan Bergu 如何记录？,debit: Belian,kredit: Jualan,debit: Perabot,kredit: Perabot,debit: Merisa Perabot,kredit: Merisa Perabot,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"C,F",dokumen_12.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Belian,kredit: Jualan,debit: Tunai,kredit: Tunai,debit: Best Sport Enterprise,kredit: Best Sport Enterprise,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"A,F",dokumen_13.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Belian,kredit: Jualan,debit: Tunai,kredit: Tunai,debit: Zara Sdn Bhd,kredit: Zara Sdn Bhd,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"A,F",dokumen_14.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Pulangan Belian,kredit: Pulangan Belian,debit: Pulangan Jualan,kredit: Pulangan Jualan,debit: Zara Sdn Bhd,kredit: Zara Sdn Bhd,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"B,E",dokumen_15.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Bank,kredit: Bank,debit: Tunai,kredit: Tunai,debit: Merisa Perabot,kredit: Merisa Perabot,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"B,E",dokumen_16.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Alatan Pejabat,kredit: Alatan Pejabat,debit: Belian,kredit: Jualan,debit: Ridzuan Enterprise,kredit: Ridzuan Enterprise,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"A,F",dokumen_17.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Bank,kredit: Bank,debit: Diskaun diberi,kredit: Diskaun diterima,debit: Zara Sdn Bhd,kredit: Zara Sdn Bhd,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"B,D,E",dokumen_18.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Promosi,kredit: Promosi,debit: Tunai,kredit: Tunai,debit: Bank,kredit: Bank,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"A,D",dokumen_19.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Belian,kredit: Jualan,debit: Tunai,kredit: Tunai,debit: Koperasi Cergasihat Bhd,kredit: Koperasi Cergasihat Bhd,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"B,E",dokumen_20.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Belian,kredit: Jualan,debit: Tunai,kredit: Tunai,debit: Koperasi Cergasihat Bhd,kredit: Koperasi Cergasihat Bhd,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"B,E",dokumen_21.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Sewa,kredit: Sewa diterima,debit: Tunai,kredit: Tunai,debit: En. Izwan Helmi,kredit: En. Izwan Helmi,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"A,D",dokumen_22.png
,checkbox,根据 Catatan Bergu 如何记录？,debit: Bank,kredit: Bank,debit: Tunai,kredit: Tunai,debit: Koperasi Cergasihat Bhd,kredit: Koperasi Cergasihat Bhd,debit: Kedai Alatan Sukan Firdaus,kredit: Kedai Alatan Sukan Firdaus,"A,F",dokumen_23.png
