title,type,question,A,B,C,D,answer,image
Akaun Perdagangan dan Untung Rugi,radio,Jualan,Jualan Bersih,Kos Jualan,Hasil,Belanja,A,
,radio,Pulangan Jualan,Jualan Bersih,Kos Jualan,Hasil,Belanja,A,
,radio,Pulangan Masuk,Jualan Bersih,Kos Jualan,Hasil,Belanja,A,
,radio,Inventori Awal,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Pulangan Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Pulangan Keluar,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Angkutan Masuk,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Upah atas Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Insurans atas Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Duti Import,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Duti Belian,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Inventori Akhir,Jualan Bersih,Kos Jualan,Hasil,Belanja,B,
,radio,Komisen,Jualan Bersih,Kos Jualan,Hasil,Belanja,C,
,radio,Sewa diterima,Jualan Bersih,Kos Jualan,Hasil,Belanja,C,
,radio,Diskaun diterima,Jualan Bersih,Kos Jualan,Hasil,Belanja,C,
,radio,Faedah Simpanan Tetap,Jualan Bersih,Kos Jualan,Hasil,Belanja,C,
,radio,Diskaun diberi,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Alat Tulis,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Kadar Bayaran,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Gaji,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Sewa,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Faedah Pinjaman,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Upah,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
,radio,Insurans,Jualan Bersih,Kos Jualan,Hasil,Belanja,D,
