title,type,question,A,B,C,D,E,answer,image
Penyata Kedudukan Kewangan,radio,Bank,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,B,
,radio,Tunai,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,B,
,radio,Inventori Akhir,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,B,
,radio,Akaun Belum Terima,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,B,
,radio,Simpanan Tetap,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,B,
,radio,Inventori Alat Tulis,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,B,
,radio,Akaun Belum Bayar,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,E,
,radio,Overdraf Bank,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,E,
,radio,Premis,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,A,
,radio,Kelengkapan,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,A,
,radio,Kenderaan,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,A,
,radio,Perabot,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,A,
,radio,Alatan Pejabat,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,A,
,radio,Ambilan,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,C,
,radio,Modal,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,C,
,radio,Untung Bersih,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,C,
,radio,Pinjaman,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,D,
,radio,Gadai Janji,Aset Bukan Semasa,Aset Semasa,Ekuiti Pemilik,Liabiliti Bukan Semasa,Liabiliti Semasa,D,
