title,type,question,A,B,C,D,E,F,G,H,answer,image
Akaun Perdagangan,radio,Jualan,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,A,
,radio,Pulangan Jualan,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,B,
,radio,Pulangan Masuk,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,B,
,radio,Belian,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,C,
,radio,Pulangan Belian,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,D,
,radio,Pulangan Keluar,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,D,
,radio,Angkutan Masuk,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,E,
,radio,Duti atas import,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,F,
,radio,Duti belian,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,F,
,radio,Insurans atas belian,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,G,
,radio,Upah atas belian,销售/卖,销货退回,采购/买,进货退回,进货运输费,进口税/采购税,采购保险费,采购工钱,H,
,radio,Inventori Awal,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,A,
,radio,Inventori Akhir,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,B,
,radio,Jualan Bersih,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,C,
,radio,Kos Belian,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,D,
,radio,Belian Bersih,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,E,
,radio,Kos Barang untuk Dijual,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,F,
,radio,Kos Jualan,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,G,
,radio,Untung Kasar,期初存货/年头的货,期末存货/年尾的货,净销售额/净卖,进货成本,净采购额/净买,可供销售商品成本/准备卖的货,销售成本,毛利,H,
